GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id,AbstractIdentifiable,81,0,16,0,4,0,14,0,6,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,EmptyIdMap,45,0,4,0,19,0,16,0,14,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,IdMapCollector,25,0,0,0,9,0,9,0,9,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,IdMaps,25,0,0,0,4,0,4,0,4,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,ImmutableIdMap,62,0,0,0,16,0,14,0,14,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,IdMap,8,0,0,0,2,0,1,0,1,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,AbstractImmutableIdMap,9,0,0,0,5,0,5,0,5,0
TestDataMT - Domain/testdatamt-collection,de.befrish.testdatamt.collection.id.map,MutableIdMap,184,0,18,0,45,0,29,0,20,0
